battle_tag,learner,opponent,outcome,n_turns,learner_pokemon_remaining,opponent_pokemon_remaining
battle-gen9randombattle-25949,QLearningPlayer 1,SimpleHeuristics 1,Loss,34,6,5
battle-gen9randombattle-25950,QLearningPlayer 1,SimpleHeuristics 1,Loss,10,6,2
battle-gen9randombattle-25951,QLearningPlayer 1,SimpleHeuristics 1,Loss,23,6,5
battle-gen9randombattle-25952,QLearningPlayer 1,SimpleHeuristics 1,Loss,20,6,4
battle-gen9randombattle-25953,QLearningPlayer 1,SimpleHeuristics 1,Loss,18,6,3
battle-gen9randombattle-25954,QLearningPlayer 1,SimpleHeuristics 1,Loss,17,6,4
battle-gen9randombattle-25955,QLearningPlayer 1,SimpleHeuristics 1,Loss,19,6,3
battle-gen9randombattle-25956,QLearningPlayer 1,SimpleHeuristics 1,Loss,15,6,5
battle-gen9randombattle-25957,QLearningPlayer 1,SimpleHeuristics 1,Loss,13,6,4
battle-gen9randombattle-25958,QLearningPlayer 1,SimpleHeuristics 1,Loss,29,6,4
battle-gen9randombattle-25959,QLearningPlayer 1,SimpleHeuristics 1,Loss,24,6,2
battle-gen9randombattle-25960,QLearningPlayer 1,SimpleHeuristics 1,Loss,42,6,2
battle-gen9randombattle-25961,QLearningPlayer 1,SimpleHeuristics 1,Loss,18,6,3
battle-gen9randombattle-25962,QLearningPlayer 1,SimpleHeuristics 1,Loss,18,6,4
battle-gen9randombattle-25963,QLearningPlayer 1,SimpleHeuristics 1,Loss,34,6,4
battle-gen9randombattle-25964,QLearningPlayer 1,SimpleHeuristics 1,Loss,16,6,3
battle-gen9randombattle-25965,QLearningPlayer 1,SimpleHeuristics 1,Loss,33,6,2
battle-gen9randombattle-25966,QLearningPlayer 1,SimpleHeuristics 1,Loss,15,6,2
battle-gen9randombattle-25967,QLearningPlayer 1,SimpleHeuristics 1,Win,22,5,6
battle-gen9randombattle-25968,QLearningPlayer 1,SimpleHeuristics 1,Loss,33,6,4
battle-gen9randombattle-25969,QLearningPlayer 1,SimpleHeuristics 1,Loss,20,6,4
battle-gen9randombattle-25970,QLearningPlayer 1,SimpleHeuristics 1,Loss,15,6,1
battle-gen9randombattle-25971,QLearningPlayer 1,SimpleHeuristics 1,Loss,23,6,2
battle-gen9randombattle-25972,QLearningPlayer 1,SimpleHeuristics 1,Loss,18,6,2
battle-gen9randombattle-25973,QLearningPlayer 1,SimpleHeuristics 1,Loss,17,6,2
battle-gen9randombattle-25974,QLearningPlayer 1,SimpleHeuristics 1,Loss,33,6,4
battle-gen9randombattle-25975,QLearningPlayer 1,SimpleHeuristics 1,Loss,14,6,3
battle-gen9randombattle-25976,QLearningPlayer 1,SimpleHeuristics 1,Loss,13,6,2
battle-gen9randombattle-25977,QLearningPlayer 1,SimpleHeuristics 1,Loss,11,6,1
battle-gen9randombattle-25978,QLearningPlayer 1,SimpleHeuristics 1,Loss,19,6,1
battle-gen9randombattle-25979,QLearningPlayer 1,SimpleHeuristics 1,Loss,15,6,3
battle-gen9randombattle-25980,QLearningPlayer 1,SimpleHeuristics 1,Loss,28,6,3
battle-gen9randombattle-25981,QLearningPlayer 1,SimpleHeuristics 1,Win,23,4,6
battle-gen9randombattle-25982,QLearningPlayer 1,SimpleHeuristics 1,Loss,17,6,2
